Initialising LIS3DH
Successfully connected to LIS3DH at address 0x18
WRT 0b1110111 to register 0x20
WRT 0b1110111 to register 0x20
WRT 0b1110111 to register 0x20
WRT 0b1110111 to register 0x20
WRT 0b10001000 to register 0x23
WRT 0b10001000 to register 0x23
WRT 0b10001000 to register 0x23
WRT 0b10001000 to register 0x23
WRT 0b10000000 to register 0x22
WRT 0b1000 to register 0x24
WRT 0b10101 to register 0x38
WRT 0b1010000 to register 0x3A
WRT 0b1010 to register 0x3B
WRT 0b10100 to register 0x3C
WRT 0b1100100 to register 0x3D
Starting stream
X: -0.650549	Y: -0.675946	Z: -0.260806
X: -0.656410	Y: -0.688645	Z: -0.252015
X: -0.651526	Y: -0.683761	Z: -0.254945
X: -0.650549	Y: -0.674969	Z: -0.259829
X: -0.654457	Y: -0.677900	Z: -0.240293
X: -0.650549	Y: -0.675946	Z: -0.256899
X: -0.654457	Y: -0.682784	Z: -0.247131
X: -0.701343	Y: -0.716972	Z: -0.218803
X: -0.649573	Y: -0.687668	Z: -0.204151
X: -0.674969	Y: -0.663248	Z: -0.305739
X: -0.665201	Y: -0.651526	Z: -0.202198
X: -0.642735	Y: -0.672039	Z: -0.288156
X: -0.658364	Y: -0.668132	Z: -0.252015
X: -0.638828	Y: -0.688645	Z: -0.289133
X: -0.659341	Y: -0.670085	Z: -0.221734
X: -0.634921	Y: -0.685714	Z: -0.218803
X: -0.663248	Y: -0.683761	Z: -0.268620
X: -0.636874	Y: -0.666178	Z: -0.229548
X: -0.650549	Y: -0.674969	Z: -0.239316
X: -0.646642	Y: -0.678877	Z: -0.221734
X: -0.658364	Y: -0.696459	Z: -0.251038
X: -0.659341	Y: -0.676923	Z: -0.191453
X: -0.647619	Y: -0.688645	Z: -0.252015
X: -0.662271	Y: -0.676923	Z: -0.214896
X: -0.647619	Y: -0.686691	Z: -0.185592
X: -0.666178	Y: -0.676923	Z: -0.205128
X: -0.645665	Y: -0.684737	Z: -0.198291
X: -0.657387	Y: -0.684737	Z: -0.252015
X: -0.651526	Y: -0.674969	Z: -0.233455
X: -0.651526	Y: -0.693529	Z: -0.230525
X: -0.653480	Y: -0.684737	Z: -0.224664
X: -0.645665	Y: -0.687668	Z: -0.268620
X: -0.643712	Y: -0.674969	Z: -0.224664
X: -0.646642	Y: -0.693529	Z: -0.239316
X: -0.654457	Y: -0.683761	Z: -0.231502
X: -0.653480	Y: -0.681807	Z: -0.215873
X: -0.650549	Y: -0.692552	Z: -0.244200
X: -0.688645	Y: -0.736508	Z: -0.132845
X: -0.565568	Y: -0.635897	Z: -0.248107
X: -0.694505	Y: -0.694505	Z: -0.269597
X: -0.673016	Y: -0.695482	Z: -0.221734
X: -0.618315	Y: -0.704274	Z: -0.274481
X: -0.614408	Y: -0.665201	Z: -0.241270
X: -0.677900	Y: -0.680830	Z: -0.242247
X: -0.665201	Y: -0.692552	Z: -0.210012
X: -0.611477	Y: -0.673016	Z: -0.210012
X: -0.634921	Y: -0.661294	Z: -0.268620
X: -0.666178	Y: -0.708181	Z: -0.222711
X: -0.637851	Y: -0.719902	Z: -0.210989
X: -0.610501	Y: -0.684737	Z: -0.232479
X: -0.636874	Y: -0.686691	Z: -0.250061
X: -0.661294	Y: -0.702320	Z: -0.248107
X: -0.635897	Y: -0.697436	Z: -0.266667
X: -0.617338	Y: -0.687668	Z: -0.187546
X: -0.661294	Y: -0.696459	Z: -0.202198
X: -0.644689	Y: -0.705250	Z: -0.211966
X: -0.624176	Y: -0.706227	Z: -0.207082
X: -0.632967	Y: -0.687668	Z: -0.207082
X: -0.652503	Y: -0.707204	Z: -0.204151
X: -0.626129	Y: -0.707204	Z: -0.235409
X: -0.622222	Y: -0.692552	Z: -0.247131
X: -0.649573	Y: -0.693529	Z: -0.220757
X: -0.645665	Y: -0.697436	Z: -0.191453
X: -0.644689	Y: -0.687668	Z: -0.238339
X: -0.634921	Y: -0.696459	Z: -0.240293
X: -0.639805	Y: -0.699389	Z: -0.197314
X: -0.631990	Y: -0.709158	Z: -0.219780
X: -0.637851	Y: -0.702320	Z: -0.256899
X: -0.635897	Y: -0.704274	Z: -0.260806
X: -0.631990	Y: -0.695482	Z: -0.246154
X: -0.636874	Y: -0.694505	Z: -0.185592
X: -0.645665	Y: -0.710134	Z: -0.228571
X: -0.649573	Y: -0.698413	Z: -0.242247
X: -0.644689	Y: -0.701343	Z: -0.226618
X: -0.640781	Y: -0.704274	Z: -0.210012
X: -0.635897	Y: -0.707204	Z: -0.180708
X: -0.632967	Y: -0.710134	Z: -0.209035
X: -0.637851	Y: -0.709158	Z: -0.184615
X: -0.631990	Y: -0.701343	Z: -0.198291
X: -0.639805	Y: -0.698413	Z: -0.182662
X: -0.646642	Y: -0.700366	Z: -0.169963
X: -0.644689	Y: -0.707204	Z: -0.207082
X: -0.651526	Y: -0.694505	Z: -0.157265
X: -0.658364	Y: -0.693529	Z: -0.165079
X: -0.652503	Y: -0.695482	Z: -0.191453
X: -0.646642	Y: -0.703297	Z: -0.160195
X: -0.654457	Y: -0.688645	Z: -0.233455
X: -0.651526	Y: -0.688645	Z: -0.222711
